event,label,background,composite,P_rated,V_ref,I_rated,C_bus,L_line,noise_frac,adc_bits,R_f,arc_place,t_ramp,W_ms,di_end,di_max,didt_max,t_rise,dv_early,di_early,v_sag_end,v_min,r_dyn,collapse,spec_i,spec_v,has_period,period_strength,resid_period,phase_err,onset_found,t_on_rel,decision
00000,benign_step,flat,False,200719.09748772054,813.4732952263123,246.74331495034448,0.0032978206320152083,6.108291942618869e-06,0.002948437908598834,16,,,0.0006600727863111364,0.25,0.09330876265107481,0.09642345677422692,0.004545133567115739,0.211,0.002373761534853147,0.02593679131634783,0.002286459038350145,0.9967445693736801,0.024244396534069963,0.0,0.2714160961112466,-0.022848635551949527,0.0,0.0,,,1.0,0.15500000001850145,HOLD
00000,benign_step,flat,False,200719.09748772054,813.4732952263123,246.74331495034448,0.0032978206320152083,6.108291942618869e-06,0.002948437908598834,16,,,0.0006600727863111364,0.5,0.18831718193284974,0.1993313079795586,0.004545133567115739,0.39399999999999996,0.002373761534853147,0.02593679131634783,0.003116554846863859,0.9954730844851227,0.016462081333797226,0.0,0.5454360698791489,0.05987006578658963,0.0,0.0,,,1.0,0.15500000001850145,HOLD
00000,benign_step,flat,False,200719.09748772054,813.4732952263123,246.74331495034448,0.0032978206320152083,6.108291942618869e-06,0.002948437908598834,16,,,0.0006600727863111364,1.0,0.2637238610666944,0.26833655069445145,0.004587605787002407,0.5455,0.002373761534853147,0.02593679131634783,0.005083614930801107,0.9928578077314467,0.01920346322510136,0.0,0.5745383992983821,0.08570657779774651,0.0,0.0,,,1.0,0.15500000001850145,HOLD
00001,benign_step,flat,False,168561.16289392582,791.834389433885,212.87426404205195,0.002161241733642433,5.066126867490985e-06,0.0010253981283989487,16,,,0.005879769297501442,0.25,0.04606279054276966,0.04835263273324262,0.0019605577818434436,0.2,0.001302853859753976,0.02313138538362009,0.00030250396239509295,0.9988192121579759,0.006427667354747777,0.0,0.22039292854032483,0.11137543796449205,0.0,0.0,,,1.0,0.2195000000185035,HOLD
00001,benign_step,flat,False,168561.16289392582,791.834389433885,212.87426404205195,0.002161241733642433,5.066126867490985e-06,0.0010253981283989487,16,,,0.005879769297501442,0.5,0.07455059111071516,0.07855001150245011,0.0019605577818434436,0.40099999999999997,0.001302853859753976,0.02313138538362009,0.0005376862243895551,0.9986808905081944,0.007116902945227868,0.0,0.15473731692506407,0.08537254327020052,0.0,0.0,,,1.0,0.2195000000185035,HOLD
00001,benign_step,flat,False,168561.16289392582,791.834389433885,212.87426404205195,0.002161241733642433,5.066126867490985e-06,0.0010253981283989487,16,,,0.005879769297501442,1.0,0.13042611711146584,0.13677198881409314,0.0020561929985233296,0.8335,0.001302853859753976,0.02313138538362009,0.0010156497500879943,0.9981861292359222,0.007727914149868674,0.0,0.3641891424140071,0.13350965813473198,0.0,0.0,,,1.0,0.2195000000185035,HOLD
00002,benign_step,flat,False,483301.4120982531,794.1074095495453,608.6096241973163,0.03141856248380558,3.276522397799237e-05,0.0027853617308391224,14,,,0.0005721965114349584,0.25,0.03184083668409883,0.03403574824350472,0.004070116077564935,0.187,0.004323331393876032,0.016943354192491614,0.0036699444983999295,0.9946648741687368,0.11174942142009664,0.0,0.018883886755228296,-0.004591522181181175,0.0,0.0,,,1.0,0.379500000018497,HOLD
00002,benign_step,flat,False,483301.4120982531,794.1074095495453,608.6096241973163,0.03141856248380558,3.276522397799237e-05,0.0027853617308391224,14,,,0.0005721965114349584,0.5,0.0632781750122326,0.06910624665541736,0.005335437293833275,0.384,0.004323331393876032,0.016943354192491614,0.00549062063246036,0.9922621146720509,0.08541967209578455,0.0,0.11897392540777063,-0.04294549796338686,0.0,0.0,,,1.0,0.379500000018497,HOLD
00002,benign_step,flat,False,483301.4120982531,794.1074095495453,608.6096241973163,0.03141856248380558,3.276522397799237e-05,0.0027853617308391224,14,,,0.0005721965114349584,1.0,0.14766600568182037,0.1569090250575413,0.005335437293833275,0.847,0.004323331393876032,0.016943354192491614,0.009473966076717561,0.9882627312135743,0.06372651254917039,0.0,0.09644773852277531,-0.03394388957341927,0.0,0.0,,,1.0,0.379500000018497,HOLD
00003,benign_step,flat,False,127070.61355508241,794.9303520233152,159.85125392640114,0.00916950773043908,3.5765603651450755e-06,0.0006436761284190387,12,,,0.004784145044381388,0.25,0.030293758707587985,0.03192283352754427,0.0014528000085822239,0.1865,0.0005523689559910907,0.015845185985697192,0.0002453632464755473,0.9993992675599657,0.007840644799758508,0.0,0.06445154460247945,0.03616621744366822,0.0,0.0,,,1.0,0.3385000000184976,HOLD
